m	n	topk	coop_g	us	stddev_pct	path
1024	458752	2048	4	961.60	0.086	prefill
1024	458752	2048	8	947.60	0.061	prefill
1024	458752	2048	16	951.40	0.058	prefill
1024	458752	2048	32	978.20	0.064	prefill
1024	458752	2048	64	1080.70	0.040	prefill
2048	458752	2048	1	1376.10	0.052	prefill
2048	458752	2048	2	1348.00	0.055	prefill
2048	458752	2048	4	1352.90	0.048	prefill
2048	458752	2048	8	1334.80	0.068	prefill
2048	458752	2048	16	1339.20	0.083	prefill
2048	458752	2048	32	1409.10	0.063	prefill
2048	458752	2048	64	1593.90	0.041	prefill
4096	458752	2048	1	2231.50	0.049	prefill
4096	458752	2048	2	2196.10	0.052	prefill
4096	458752	2048	4	2185.80	0.053	prefill
4096	458752	2048	8	2134.00	0.046	prefill
4096	458752	2048	16	2133.10	0.056	prefill
4096	458752	2048	32	2286.60	0.084	prefill
4096	458752	2048	64	2625.40	0.025	prefill
1	655360	2048	1	146.30	0.022	prefill
1	655360	2048	2	91.50	0.061	decode
1	655360	2048	4	59.70	0.061	decode
