m	n	topk	coop_g	us	stddev_pct	path
128	131072	2048	16	40.00	0.091	decode
128	131072	2048	32	53.00	0.202	decode
128	131072	2048	64	79.70	0.105	decode
256	131072	2048	1	64.10	0.043	prefill
256	131072	2048	2	50.60	0.055	decode
256	131072	2048	4	52.00	0.031	decode
256	131072	2048	8	46.90	0.060	decode
256	131072	2048	16	52.90	0.053	decode
256	131072	2048	32	70.60	0.093	decode
256	131072	2048	64	111.70	0.210	decode
512	131072	2048	1	88.80	0.031	prefill
512	131072	2048	2	72.80	0.094	prefill
512	131072	2048	4	83.30	0.048	prefill
512	131072	2048	8	76.10	0.204	prefill
512	131072	2048	16	88.00	0.058	prefill
512	131072	2048	32	114.80	0.062	prefill
512	131072	2048	64	181.10	0.167	prefill
1024	131072	2048	1	159.80	0.109	prefill
1024	131072	2048	2	153.30	0.084	prefill
1024	131072	2048	4	161.00	0.113	prefill
1024	131072	2048	8	153.80	0.135	prefill
1024	131072	2048	16	171.60	0.106	prefill
1024	131072	2048	32	212.60	0.053	prefill
1024	131072	2048	64	322.70	0.101	prefill
2048	131072	2048	1	279.70	0.104	prefill
2048	131072	2048	2	274.10	0.094	prefill
2048	131072	2048	4	280.90	0.141	prefill
2048	131072	2048	8	271.70	0.176	prefill
2048	131072	2048	16	309.20	0.108	prefill
2048	131072	2048	32	395.60	0.084	prefill
2048	131072	2048	64	601.10	0.116	prefill
4096	131072	2048	1	609.80	0.037	prefill
4096	131072	2048	2	582.10	0.050	prefill
4096	131072	2048	4	591.40	0.050	prefill
4096	131072	2048	8	581.00	0.083	prefill
4096	131072	2048	16	644.10	0.069	prefill
4096	131072	2048	32	778.90	0.062	prefill
4096	131072	2048	64	1142.50	0.048	prefill
1	196608	2048	1	62.30	0.051	prefill
1	196608	2048	2	45.40	0.051	decode
1	196608	2048	4	34.50	0.047	decode
1	196608	2048	8	28.50	0.098	decode
1	196608	2048	16	25.80	0.089	decode
1	196608	2048	32	24.70	0.112	decode
1	196608	2048	64	24.40	0.067	decode
2	196608	2048	1	63.70	0.057	prefill
2	196608	2048	2	45.30	0.062	decode
2	196608	2048	4	34.90	0.066	decode
2	196608	2048	8	28.90	0.077	decode
2	196608	2048	16	26.40	0.152	decode
2	196608	2048	32	25.20	0.129	decode
2	196608	2048	64	25.40	0.156	decode
4	196608	2048	1	63.80	0.063	prefill
4	196608	2048	2	46.30	0.035	decode
4	196608	2048	4	35.10	0.103	decode
4	196608	2048	8	29.00	0.138	decode
4	196608	2048	16	26.70	0.203	decode
4	196608	2048	32	26.10	0.258	decode
4	196608	2048	64	27.20	0.312	decode
8	196608	2048	1	64.30	0.105	prefill
8	196608	2048	2	46.70	0.035	decode
8	196608	2048	4	35.60	0.079	decode
8	196608	2048	8	29.20	0.056	decode
8	196608	2048	16	27.50	0.059	decode
8	196608	2048	32	28.00	0.232	decode
8	196608	2048	64	30.20	0.223	decode
16	196608	2048	1	64.50	0.062	prefill
16	196608	2048	2	47.30	0.104	decode
16	196608	2048	4	37.80	0.113	decode
16	196608	2048	8	30.30	0.162	decode
16	196608	2048	16	29.50	0.192	decode
16	196608	2048	32	31.00	0.117	decode
16	196608	2048	64	36.40	0.064	decode
32	196608	2048	1	65.00	0.062	prefill
32	196608	2048	2	52.30	0.062	decode
32	196608	2048	4	41.30	0.142	decode
32	196608	2048	8	30.90	0.073	decode
32	196608	2048	16	31.50	0.171	decode
32	196608	2048	32	35.80	0.065	decode
32	196608	2048	64	48.20	0.101	decode
64	196608	2048	1	81.00	0.040	prefill
64	196608	2048	2	55.40	0.041	decode
64	196608	2048	4	45.30	0.036	decode
64	196608	2048	8	35.10	0.114	decode
64	196608	2048	16	36.30	0.078	decode
64	196608	2048	32	44.80	0.131	decode
64	196608	2048	64	62.90	0.068	decode
128	196608	2048	1	82.00	0.044	prefill
128	196608	2048	2	56.40	0.049	decode
128	196608	2048	4	48.40	0.047	decode
128	196608	2048	8	40.80	0.057	decode
128	196608	2048	16	45.60	0.036	decode
128	196608	2048	32	56.20	0.120	decode
128	196608	2048	64	84.20	0.091	decode
256	196608	2048	1	84.00	0.047	prefill
256	196608	2048	2	61.30	0.000	decode
256	196608	2048	4	59.90	0.038	decode
256	196608	2048	8	56.90	0.064	decode
256	196608	2048	16	62.20	0.052	decode
256	196608	2048	32	78.20	0.105	decode
256	196608	2048	64	122.20	0.213	decode
512	196608	2048	1	140.80	0.054	prefill
512	196608	2048	2	112.90	0.074	prefill
512	196608	2048	4	111.20	0.044	prefill
512	196608	2048	8	110.00	0.132	prefill
512	196608	2048	16	121.90	0.040	prefill
512	196608	2048	32	144.20	0.030	prefill
512	196608	2048	64	208.10	0.118	prefill
1024	196608	2048	1	235.90	0.076	prefill
1024	196608	2048	2	227.60	0.097	prefill
1024	196608	2048	4	224.00	0.088	prefill
1024	196608	2048	8	223.60	0.079	prefill
1024	196608	2048	16	239.40	0.142	prefill
1024	196608	2048	32	277.70	0.071	prefill
1024	196608	2048	64	380.60	0.114	prefill
2048	196608	2048	1	412.00	0.100	prefill
2048	196608	2048	2	406.90	0.072	prefill
2048	196608	2048	4	399.60	0.052	prefill
2048	196608	2048	8	392.80	0.030	prefill
2048	196608	2048	16	420.00	0.110	prefill
2048	196608	2048	32	500.50	0.076	prefill
2048	196608	2048	64	705.50	0.060	prefill
4096	196608	2048	1	831.50	0.025	prefill
4096	196608	2048	2	805.20	0.057	prefill
4096	196608	2048	4	788.80	0.043	prefill
4096	196608	2048	8	780.40	0.083	prefill
4096	196608	2048	16	847.10	0.115	prefill
4096	196608	2048	32	992.20	0.066	prefill
4096	196608	2048	64	1349.60	0.030	prefill
1	262144	2048	1	75.90	0.043	prefill
1	262144	2048	2	52.70	0.043	decode
1	262144	2048	4	39.50	0.082	decode
1	262144	2048	8	31.60	0.073	decode
