m	n	g	us	path	stddev_pct
1024	98304	1	126.00	prefill	0.05
1024	98304	2	121.20	prefill	0.07
1024	98304	4	130.20	prefill	0.05
1024	98304	8	124.00	prefill	0.06
1024	98304	16	143.70	prefill	0.09
1024	98304	32	197.80	prefill	0.08
1024	98304	64	247.00	prefill	0.11
2048	98304	1	260.40	prefill	0.08
2048	98304	2	248.10	prefill	0.10
2048	98304	4	256.00	prefill	0.07
2048	98304	8	251.90	prefill	0.04
2048	98304	16	287.00	prefill	0.05
2048	98304	32	384.60	prefill	0.10
2048	98304	64	472.10	prefill	0.10
4096	98304	1	464.30	prefill	0.06
4096	98304	2	445.20	prefill	0.07
4096	98304	4	454.40	prefill	0.04
4096	98304	8	455.00	prefill	0.08
4096	98304	16	529.70	prefill	0.06
4096	98304	32	730.20	prefill	0.05
4096	98304	64	893.00	prefill	0.05
1	131072	1	48.30	prefill	0.06
1	131072	2	37.00	decode	0.06
1	131072	4	29.60	decode	0.10
1	131072	8	25.20	decode	0.07
1	131072	16	23.40	decode	0.07
1	131072	32	22.70	decode	0.10
1	131072	64	22.60	decode	0.16
2	131072	1	49.10	prefill	0.05
2	131072	2	36.60	decode	0.00
2	131072	4	29.70	decode	0.09
2	131072	8	25.30	decode	0.09
2	131072	16	23.70	decode	0.10
2	131072	32	23.10	decode	0.16
2	131072	64	23.40	decode	0.23
4	131072	1	49.60	prefill	0.13
4	131072	2	38.20	decode	0.14
4	131072	4	30.40	decode	0.25
4	131072	8	26.20	decode	0.14
4	131072	16	24.70	decode	0.21
4	131072	32	24.50	decode	0.12
4	131072	64	25.50	decode	0.17
8	131072	1	50.00	prefill	0.11
8	131072	2	39.00	decode	0.10
8	131072	4	31.10	decode	0.17
8	131072	8	26.50	decode	0.20
8	131072	16	25.60	decode	0.27
8	131072	32	26.10	decode	0.15
8	131072	64	28.60	decode	0.08
16	131072	1	50.10	prefill	0.05
16	131072	2	39.90	decode	0.11
16	131072	4	33.70	decode	0.05
16	131072	8	27.40	decode	0.16
16	131072	16	27.00	decode	0.15
16	131072	32	29.10	decode	0.14
16	131072	64	34.50	decode	0.05
32	131072	1	50.60	prefill	0.11
32	131072	2	40.30	decode	0.07
32	131072	4	35.70	decode	0.08
32	131072	8	28.70	decode	0.08
32	131072	16	28.70	decode	0.08
32	131072	32	32.70	decode	0.08
32	131072	64	45.50	decode	0.08
64	131072	1	57.60	prefill	0.05
64	131072	2	45.80	decode	0.04
64	131072	4	39.80	decode	0.06
64	131072	8	30.40	decode	0.09
64	131072	16	32.00	decode	0.07
64	131072	32	41.20	decode	0.00
64	131072	64	60.00	decode	0.30
128	131072	1	62.60	prefill	0.04
128	131072	2	46.60	decode	0.05
128	131072	4	43.70	decode	0.07
